refit_date,omega,alpha,beta,persistence,loglik,aic,bic,n_obs
2022-06-01,0.044154792036961044,0.23244443633930323,0.7384340142203479,0.9708784505596512,-2330.5904561021794,4669.180912204359,4691.304977532671,1865
2022-07-01,0.043752903085183655,0.23313391918838014,0.7392153103573452,0.9723492295457253,-2374.804249280931,4757.608498561862,4779.777352414635,1886
2022-08-01,0.043499979827345645,0.23283464229646833,0.7403003979861984,0.9731350402826667,-2408.738352473434,4825.476704946868,4847.687753283725,1906
2022-09-01,0.04261474613272975,0.22979620577331206,0.7448330926559581,0.9746292984292702,-2448.8205007094134,4905.641001418827,4927.90002947045,1929
2022-10-01,0.04153864199190991,0.228341682157767,0.7487833267854335,0.9771250089432004,-2491.7412156633573,4991.4824313267145,5013.784769932946,1950
2022-11-01,0.04101532995814284,0.22710241331445863,0.75075995033041,0.9778623636448687,-2533.9344631558547,5075.868926311709,5098.21411154032,1971
2022-12-01,0.03983777300050345,0.22679851693258424,0.7543347391091482,0.9811332560417324,-2578.7697960169608,5165.5395920339215,5187.9271697865,1992
2023-01-01,0.039266855993376086,0.22231910657779877,0.7582368043624783,0.980555910940277,-2613.562236374143,5235.124472748286,5257.553998450845,2013
2023-02-01,0.03884606088888313,0.2197571134744313,0.7608255166548235,0.9805826301292547,-2643.9380383684193,5295.8760767368385,5318.345147991352,2033
2023-03-01,0.03854629322717428,0.21682612672919938,0.7632535008213281,0.9800796275505275,-2671.5813663464455,5351.162732692891,5373.669013518053,2052
2023-04-01,0.038281320867476286,0.21551365671184783,0.7649066748483669,0.9804203315602148,-2707.8549385068977,5423.709877013795,5446.260742744455,2075
2023-05-01,0.038798884409965775,0.21312838221205027,0.766002962294529,0.9791313445065792,-2730.77630233768,5469.55260467536,5492.139930241082,2094
2023-06-01,0.038703497886868755,0.21105687050361208,0.767240224680406,0.9782970951840181,-2757.6991378290327,5523.398275658065,5546.027406829978,2116
2023-07-01,0.03854658498985355,0.20961165580414043,0.7682018332742049,0.9778134890783453,-2780.2121624924766,5568.424324984953,5591.09295800623,2137
2023-08-01,0.038079195430126854,0.20813684164140392,0.7692535172177473,0.9773903588591512,-2796.358377541036,5600.716755082072,5623.422649667629,2157
2023-09-01,0.03809377944645,0.20533386869852463,0.7713931025559906,0.9767269712545152,-2824.657401019632,5657.314802039264,5680.063122662396,2180
2023-10-01,0.03818209506249248,0.20429479769607842,0.7718992803786263,0.9761940780747047,-2848.0732218884436,5704.146443776887,5726.931294334273,2200
2023-11-01,0.03796784021134581,0.20230147602445575,0.7737677966205674,0.9760692726450231,-2877.166519932127,5762.333039864254,5785.157691745052,2222
2023-12-01,0.03826239796352984,0.20434366707318513,0.7712461652285811,0.9755898323017662,-2900.7057828327584,5809.411565665517,5832.273843803598,2243
2024-01-01,0.038261593668251465,0.2028971814051046,0.7721122023708001,0.9750093837759047,-2919.965042002922,5847.930084005844,5870.827870588379,2263
2024-02-01,0.03835587511484756,0.20033887284524257,0.7740928850672296,0.9744317579124722,-2943.3896422539206,5894.779284507841,5917.7140187909445,2284
2024-03-01,0.03796947618784566,0.1965580957264669,0.7772888476387194,0.9738469433651863,-2968.146094982002,5944.292189964004,5967.261798051267,2304
2024-04-01,0.03765480751364477,0.19536751374570374,0.7781606361925248,0.9735281499382286,-2987.0592266373146,5982.118453274629,6005.122633746517,2324
2024-05-01,0.03770721413480257,0.1935644765765067,0.7798163884205372,0.9733808649970439,-3016.0456209848617,6040.091241969723,6063.133110086577,2346
2024-06-01,0.03768798938279019,0.19279375697266088,0.7798218592572435,0.9726156162299043,-3037.2052175147137,6082.410435029427,6105.489639013443,2368
2024-07-01,0.03686725495930536,0.1921695963413442,0.7807355542656604,0.9729051506070047,-3049.6015502982063,6107.203100596413,6130.314271101768,2387
2024-08-01,0.03702903291271593,0.1922751147951592,0.7810229838190363,0.9732980986141956,-3078.076405896261,6164.152811792522,6187.300679802981,2409
2024-09-01,0.03776184388299707,0.19527297914824943,0.7775215605901936,0.972794539738443,-3111.522507132665,6231.04501426533,6254.229246162595,2431
2024-10-01,0.03729010528562941,0.19211853540490112,0.7805790730399994,0.9726976084449005,-3137.478459406656,6282.956918813312,6306.173924347424,2451
2024-11-01,0.037736605107807644,0.18786357874481213,0.783540656615643,0.9714042353604551,-3164.3233391569165,6336.646678313833,6359.901044525643,2474
2024-12-01,0.03803496061772425,0.1888194789443995,0.7819555436324102,0.9707750225768097,-3187.2387242022205,6382.477448404441,6405.764020909401,2494
2025-01-01,0.04010871956535388,0.18880171503767637,0.780089360223207,0.9688910752608834,-3220.0511930589037,6448.102386117807,6471.422498447942,2515
2025-02-01,0.039720469086120425,0.18622848664944047,0.7824601378584616,0.968688624507902,-3246.4554503938407,6500.910900787681,6524.262696451782,2535
2025-03-01,0.03980046094538943,0.184611487320252,0.7838496192765151,0.9684611065967671,-3270.5202670265135,6549.040534053027,6572.422198199397,2554
2025-04-01,0.03950462123832758,0.1842331321405289,0.7849280623168917,0.9691611944574205,-3307.545181109027,6623.090362218054,6646.504781470446,2575
2025-05-01,0.03957718054453418,0.1923891861498755,0.7811087171617899,0.9734979033116653,-3371.341091258699,6750.682182517398,6774.129090828695,2596
2025-06-01,0.037634584800161165,0.1835608163191106,0.7905717114560807,0.9741325277751913,-3405.5666089054507,6819.133217810901,6842.612353421022,2617
2025-07-01,0.037816611423811736,0.18352604710384213,0.7898918006234241,0.9734178477272662,-3426.1738569048707,6860.347713809741,6883.857302555155,2637
2025-08-01,0.03700974893566415,0.18387530762220883,0.7900200407847136,0.9738953484069224,-3440.1871583168527,6888.374316633705,6911.917138198677,2659
2025-09-01,0.03810469065403186,0.1826693512693718,0.7895317301268948,0.9722010813962666,-3466.362531006277,6940.725062012554,6964.299350306574,2680
2025-10-01,0.037446593269114765,0.18271019148508008,0.7898009210856648,0.9725111125707449,-3481.0396851837204,6970.079370367441,6993.6848797826115,2701
2025-11-01,0.040029742380988324,0.1823504467369691,0.7871542704187255,0.9695047171556946,-3515.49919026232,7038.99838052464,7062.637807193718,2724
2025-12-01,0.039771203428299616,0.1806273036355014,0.789004672041183,0.9696319756766844,-3542.596782419111,7093.193564838222,7116.860794801973,2743
2026-01-01,0.04000106112152201,0.18072404041623963,0.7880372790931257,0.9687613195093654,-3562.5590848756924,7133.118169751385,7156.81735340721,2765
2026-02-01,0.04060031075000706,0.17800696525240695,0.7892005388659541,0.967207504118361,-3584.532726870113,7177.065453740226,7200.793466349672,2785
2026-03-01,0.040698775794880494,0.17749446181382653,0.7895297771878482,0.9670242390016748,-3608.914659946443,7225.829319892886,7249.5845288855035,2804
2026-04-01,0.040521347524070335,0.1779060011084152,0.7901991764465094,0.9681051775549245,-3643.643354946062,7295.286709892124,7319.073180145102,2826
2026-05-01,0.040516307048718746,0.1763484228797685,0.7908666765675372,0.9672150994473057,-3670.6828473943583,7349.365694788717,7373.181779137829,2847
2026-06-01,0.04039109967226506,0.17580175000161274,0.7911044929018491,0.9669062429034618,-3690.531647749155,7389.06329549831,7412.907381361843,2867
2026-07-01,0.04121773240750576,0.17367865967303636,0.7924294940114127,0.9661081536844491,-3727.5600012504437,7463.1200025008875,7486.993280500938,2888
